ref,engine_mark_usd,confidence_0_100,n_obs,sold_share,dispersion_pct,newest_days,method,as_of
126613LN,14555.81,74,16,0.0,0.8,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 21",2026-09-15T23:53:11.785896+00:00
126713GRNR,20226.29,74,16,0.0,1.1,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 19",2026-09-15T23:53:11.785896+00:00
116610LN,10059.74,74,15,0.0,1.2,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 16",2026-09-15T23:53:11.785896+00:00
126506,113627.82,74,15,0.0,1.0,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 15",2026-09-15T23:53:11.785896+00:00
126506A,126000.0,74,15,0.0,1.2,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 15",2026-09-15T23:53:11.785896+00:00
116710LN,11537.6,74,14,0.0,0.7,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 18",2026-09-15T23:53:11.785896+00:00
126500LNWH,34117.91,74,14,0.0,1.0,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 14",2026-09-15T23:53:11.785896+00:00
326.30.40.50.01.001,2969.39,74,12,0.0,1.1,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 13",2026-09-15T23:53:11.785896+00:00
126710BLRO,21921.55,73,29,0.0,2.1,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 32",2026-09-15T23:53:11.785896+00:00
126503,23266.08,73,25,0.0,2.1,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 28",2026-09-15T23:53:11.785896+00:00
124200,7946.12,73,13,0.0,1.8,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 15",2026-09-15T23:53:11.785896+00:00
116520,20460.12,72,51,0.0,3.4,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 56",2026-09-15T23:53:11.785896+00:00
126610LV,13391.54,72,34,0.0,2.9,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 37",2026-09-15T23:53:11.785896+00:00
126610LN,12276.07,72,23,0.0,3.1,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 25",2026-09-15T23:53:11.785896+00:00
126500LN,33601.12,71,43,0.0,3.5,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 46",2026-09-15T23:53:11.785896+00:00
126613LB,18183.57,71,25,0.0,3.8,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 28",2026-09-15T23:53:11.785896+00:00
116610LV,18332.16,71,24,0.0,4.4,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 28",2026-09-15T23:53:11.785896+00:00
126900,7917.81,71,19,0.0,4.2,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 19",2026-09-15T23:53:11.785896+00:00
116200,6600.0,71,14,0.0,4.3,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 16",2026-09-15T23:53:11.785896+00:00
116234,8184.05,71,14,0.0,3.7,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 14",2026-09-15T23:53:11.785896+00:00
214270,7482.56,70,79,0.0,4.7,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 80",2026-09-15T23:53:11.785896+00:00
126710GRNR,19213.67,70,70,0.0,4.6,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 73",2026-09-15T23:53:11.785896+00:00
126710BLNR,16728.56,70,66,0.0,5.2,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 67",2026-09-15T23:53:11.785896+00:00
124060,11505.96,70,54,0.0,4.9,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 55",2026-09-15T23:53:11.785896+00:00
126600,11137.27,70,33,0.0,5.3,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 36",2026-09-15T23:53:11.785896+00:00
224270,8773.03,70,33,0.0,5.3,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 33",2026-09-15T23:53:11.785896+00:00
126711CHNR,18238.73,70,21,0.0,4.7,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 22",2026-09-15T23:53:11.785896+00:00
79173,5114.85,70,18,0.0,4.8,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 20",2026-09-15T23:53:11.785896+00:00
116503,19265.34,70,17,0.0,4.6,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 20",2026-09-15T23:53:11.785896+00:00
114060,10171.61,70,14,0.0,5.1,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 14",2026-09-15T23:53:11.785896+00:00
126519LN,43325.79,70,12,0.0,5.2,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 16",2026-09-15T23:53:11.785896+00:00
16710,12159.15,69,42,0.0,6.1,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 43",2026-09-15T23:53:11.785896+00:00
226570,10228.86,69,36,0.0,6.3,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 36",2026-09-15T23:53:11.785896+00:00
126720VTNR,14816.31,69,28,0.0,5.8,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 28",2026-09-15T23:53:11.785896+00:00
336934,21735.69,69,24,0.0,6.2,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 24",2026-09-15T23:53:11.785896+00:00
116509,37740.0,69,15,0.0,5.8,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 17",2026-09-15T23:53:11.785896+00:00
WSTA0041,2981.33,69,13,0.0,5.9,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 13",2026-09-15T23:53:11.785896+00:00
16523G,18004.9,69,12,0.0,6.0,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 12",2026-09-15T23:53:11.785896+00:00
126334,13328.3,68,66,0.0,6.8,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 72",2026-09-15T23:53:11.785896+00:00
16610,9177.83,68,39,0.0,7.1,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 39",2026-09-15T23:53:11.785896+00:00
14270,7891.76,68,35,0.0,7.4,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 40",2026-09-15T23:53:11.785896+00:00
126622,13152.93,68,22,0.0,7.3,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 22",2026-09-15T23:53:11.785896+00:00
116515LN,34799.7,68,20,0.0,6.7,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 21",2026-09-15T23:53:11.785896+00:00
16613,10873.1,68,16,0.0,7.3,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 16",2026-09-15T23:53:11.785896+00:00
277200,7442.49,68,15,0.0,7.0,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 19",2026-09-15T23:53:11.785896+00:00
SBGX261,1745.66,68,13,0.0,7.0,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 14",2026-09-15T23:53:11.785896+00:00
126300,9158.12,67,53,0.0,7.7,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 56",2026-09-15T23:53:11.785896+00:00
124270,8576.54,67,41,0.0,8.0,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 41",2026-09-15T23:53:11.785896+00:00
69173,4895.88,67,35,0.0,8.0,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 35",2026-09-15T23:53:11.785896+00:00
16523,16368.09,67,22,0.0,8.2,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 23",2026-09-15T23:53:11.785896+00:00
116500LN,27352.94,67,17,0.0,7.8,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 17",2026-09-15T23:53:11.785896+00:00
276200,6826.94,67,13,0.0,7.8,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 13",2026-09-15T23:53:11.785896+00:00
116900,7042.78,67,12,0.0,7.8,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 12",2026-09-15T23:53:11.785896+00:00
16234BKB,7386.9,67,7,0.0,0.2,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 7",2026-09-15T23:53:11.785896+00:00
279174,10762.03,67,7,0.0,0.4,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 13",2026-09-15T23:53:11.785896+00:00
310.30.42.50.01.004,8184.05,67,7,0.0,0.0,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 12",2026-09-15T23:53:11.785896+00:00
SLGH015,68.98,67,6,0.0,0.0,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 6",2026-09-15T23:53:11.785896+00:00
16570,7891.76,66,53,0.0,8.9,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 53",2026-09-15T23:53:11.785896+00:00
114270,6750.36,66,46,0.0,8.5,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 48",2026-09-15T23:53:11.785896+00:00
126234,11580.41,66,44,0.0,8.6,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 45",2026-09-15T23:53:11.785896+00:00
16234,6696.04,66,24,0.0,9.1,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 24",2026-09-15T23:53:11.785896+00:00
126333,15344.85,66,20,0.0,8.9,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 21",2026-09-15T23:53:11.785896+00:00
124273,10547.67,66,16,0.0,8.6,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 17",2026-09-15T23:53:11.785896+00:00
16700,11020.5,66,15,0.0,9.4,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 15",2026-09-15T23:53:11.785896+00:00
179174,6412.6,66,9,0.0,0.9,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 11",2026-09-15T23:53:11.785896+00:00
126715CHNR,38874.22,66,8,0.0,1.2,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 8",2026-09-15T23:53:11.785896+00:00
126618LB,37412.25,66,6,0.0,0.5,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 11",2026-09-15T23:53:11.785896+00:00
215.30.40.20.03.002,4508.81,66,6,0.0,0.0,4.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 8",2026-09-15T23:53:11.785896+00:00
278240,6547.24,66,6,0.0,1.0,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 8",2026-09-15T23:53:11.785896+00:00
16520,27168.27,65,69,0.0,9.6,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 73",2026-09-15T23:53:11.785896+00:00
16233,5962.67,65,35,0.0,9.6,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 37",2026-09-15T23:53:11.785896+00:00
16600,8534.8,65,24,0.0,9.5,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 26",2026-09-15T23:53:11.785896+00:00
134300,9528.57,65,22,0.0,9.6,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 25",2026-09-15T23:53:11.785896+00:00
66001,2285.45,65,12,0.0,9.7,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 12",2026-09-15T23:53:11.785896+00:00
127334,22225.02,65,10,0.0,1.9,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 12",2026-09-15T23:53:11.785896+00:00
116622,11431.0,65,9,0.0,1.8,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 10",2026-09-15T23:53:11.785896+00:00
16610LV,13221.33,65,9,0.0,2.3,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 13",2026-09-15T23:53:11.785896+00:00
116508,65614.36,65,8,0.0,1.9,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 10",2026-09-15T23:53:11.785896+00:00
116613LB,12860.64,65,8,0.0,1.6,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 9",2026-09-15T23:53:11.785896+00:00
79360N,6510.0,65,7,0.0,1.8,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 8",2026-09-15T23:53:11.785896+00:00
116518LN,40218.74,65,6,0.0,2.1,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 8",2026-09-15T23:53:11.785896+00:00
124300,8068.15,65,6,0.0,2.1,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 8",2026-09-15T23:53:11.785896+00:00
226659,25487.46,65,6,0.0,2.3,0.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 7",2026-09-15T23:53:11.785896+00:00
28400,2163.56,65,6,0.0,0.2,4.0,"decay-wtd trimmed median, hl=45.0d, 0 sold of 6",2026-09-15T23:53:11.785896+00:00
