ref,mark_usd,mark_source,confidence,n_sources,spread_pct,as_of,msrp_usd
00011,1653.59,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
03.3100.360021.M3100,5800.0,manual_check,EST,1,0.0,2026-08-09,
03.3100.360069.M3100,7000.0,manual_check,EST,1,0.0,2026-08-09,
03.9300.362078.I001,8000.0,manual_check,EST,1,0.0,2026-08-09,
04.30.44.52.01.001,7431.0,manual_check,VERIFIED,1,0.0,2026-08-09,
04.33.44.52.03.001,7291.0,manual_check,VERIFIED,1,0.0,2026-08-09,
04.93.44.52.03.002,10759.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.20.42.50.01.001,12931.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.22.42.20.01.002,5818.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.22.42.20.01.004,7874.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.22.42.20.03.002,5771.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.20.01.001,4339.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.20.01.010,5537.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.20.03.001,4420.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.20.03.002,6948.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.20.03.003,4856.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.20.04.001,4422.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.20.06.001,4016.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.20.06.002,5594.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.20.10.001,4942.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.50.01.001,5627.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.50.01.002,6493.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.50.01.004,9567.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.42.50.04.001,7473.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.30.44.51.01.001,5457.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.32.42.20.01.001,4417.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.32.42.20.01.003,5286.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.32.42.20.03.001,4191.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.32.42.20.03.002,4829.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.32.42.20.04.001,4266.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.32.42.20.06.001,4016.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.32.42.20.10.001,4619.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.32.42.50.01.001,5344.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.32.42.50.01.002,5918.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.32.42.50.02.001,15051.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.32.42.50.04.001,7268.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.32.44.51.01.001,5510.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.90.42.20.01.001,7672.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.92.42.20.01.001,6982.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.92.44.20.01.001,5546.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.92.44.20.01.003,6494.0,manual_check,VERIFIED,1,0.0,2026-08-09,
10.92.44.50.01.001,11323.0,manual_check,VERIFIED,1,0.0,2026-08-09,
1002,4783.99,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
1003,3711.26,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
1007,4220.51,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
101.029,30280.98,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
1016,19754.9,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
1019,26441.63,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
1024,3868.82,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
1025,2464.5,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
10625,3346.33,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
10631,2954.61,engine_median,DERIVED,1,0.0,2026-09-06T23:07:09.964344+00:00,
11.10.39.30.01.001,6991.0,manual_check,VERIFIED,1,0.0,2026-08-09,
11.30.40.30.01.001,15192.0,manual_check,VERIFIED,1,0.0,2026-08-09,
11.30.42.30.01.005,4741.0,manual_check,VERIFIED,1,0.0,2026-08-09,
11.30.42.30.01.006,5478.0,manual_check,VERIFIED,1,0.0,2026-08-09,
11.30.42.30.13.001,5937.0,manual_check,VERIFIED,1,0.0,2026-08-09,
11.32.40.30.01.001,4834.0,manual_check,VERIFIED,1,0.0,2026-08-09,
11.33.42.30.01.001,4744.0,manual_check,VERIFIED,1,0.0,2026-08-09,
11.92.44.30.01.001,8249.0,manual_check,VERIFIED,1,0.0,2026-08-09,
11.92.44.51.01.003,7046.0,manual_check,VERIFIED,1,0.0,2026-08-09,
