ref,brand,kind,source,value_usd,confidence,ts
00011,,MARK,engine_median,1653.59,DERIVED,2026-08-14T21:47:56.498486+00:00
03.3100.360021.M3100,Zenith,MARK,manual_check,5800.0,EST,2026-08-09
03.3100.360069.M3100,Zenith,MARK,manual_check,7000.0,EST,2026-08-09
03.9300.362078.I001,Zenith,MARK,manual_check,8000.0,EST,2026-08-09
04.30.44.52.01.001,Omega,MARK,manual_check,7431.0,VERIFIED,2026-08-09
04.33.44.52.03.001,Omega,MARK,manual_check,7291.0,VERIFIED,2026-08-09
04.93.44.52.03.002,Omega,MARK,manual_check,10759.0,VERIFIED,2026-08-09
10.20.42.50.01.001,Omega,MARK,manual_check,12931.0,VERIFIED,2026-08-09
10.22.42.20.01.002,Omega,MARK,manual_check,5818.0,VERIFIED,2026-08-09
10.22.42.20.01.004,Omega,MARK,manual_check,7874.0,VERIFIED,2026-08-09
10.22.42.20.03.002,Omega,MARK,manual_check,5771.0,VERIFIED,2026-08-09
10.30.42.20.01.001,Omega,MARK,manual_check,4339.0,VERIFIED,2026-08-09
10.30.42.20.01.010,Omega,MARK,manual_check,5537.0,VERIFIED,2026-08-09
10.30.42.20.03.001,Omega,MARK,manual_check,4420.0,VERIFIED,2026-08-09
10.30.42.20.03.002,Omega,MARK,manual_check,6948.0,VERIFIED,2026-08-09
10.30.42.20.03.003,Omega,MARK,manual_check,4856.0,VERIFIED,2026-08-09
10.30.42.20.04.001,Omega,MARK,manual_check,4422.0,VERIFIED,2026-08-09
10.30.42.20.06.001,Omega,MARK,manual_check,4016.0,VERIFIED,2026-08-09
10.30.42.20.06.002,Omega,MARK,manual_check,5594.0,VERIFIED,2026-08-09
10.30.42.20.10.001,Omega,MARK,manual_check,4942.0,VERIFIED,2026-08-09
10.30.42.50.01.001,Omega,MARK,manual_check,5627.0,VERIFIED,2026-08-09
10.30.42.50.01.002,Omega,MARK,manual_check,6493.0,VERIFIED,2026-08-09
10.30.42.50.01.004,Omega,MARK,manual_check,9567.0,VERIFIED,2026-08-09
10.30.42.50.04.001,Omega,MARK,manual_check,7473.0,VERIFIED,2026-08-09
10.30.44.51.01.001,Omega,MARK,manual_check,5457.0,VERIFIED,2026-08-09
10.32.42.20.01.001,Omega,MARK,manual_check,4417.0,VERIFIED,2026-08-09
10.32.42.20.01.003,Omega,MARK,manual_check,5286.0,VERIFIED,2026-08-09
10.32.42.20.03.001,Omega,MARK,manual_check,4191.0,VERIFIED,2026-08-09
10.32.42.20.03.002,Omega,MARK,manual_check,4829.0,VERIFIED,2026-08-09
10.32.42.20.04.001,Omega,MARK,manual_check,4266.0,VERIFIED,2026-08-09
10.32.42.20.06.001,Omega,MARK,manual_check,4016.0,VERIFIED,2026-08-09
10.32.42.20.10.001,Omega,MARK,manual_check,4619.0,VERIFIED,2026-08-09
10.32.42.50.01.001,Omega,MARK,manual_check,5344.0,VERIFIED,2026-08-09
10.32.42.50.01.002,Omega,MARK,manual_check,5918.0,VERIFIED,2026-08-09
10.32.42.50.02.001,Omega,MARK,manual_check,15051.0,VERIFIED,2026-08-09
10.32.42.50.04.001,Omega,MARK,manual_check,7268.0,VERIFIED,2026-08-09
10.32.44.51.01.001,Omega,MARK,manual_check,5510.0,VERIFIED,2026-08-09
10.90.42.20.01.001,Omega,MARK,manual_check,7672.0,VERIFIED,2026-08-09
10.92.42.20.01.001,Omega,MARK,manual_check,6982.0,VERIFIED,2026-08-09
10.92.44.20.01.001,Omega,MARK,manual_check,5546.0,VERIFIED,2026-08-09
10.92.44.20.01.003,Omega,MARK,manual_check,6494.0,VERIFIED,2026-08-09
10.92.44.50.01.001,Omega,MARK,manual_check,11323.0,VERIFIED,2026-08-09
1002,Rolex,MARK,engine_median,4772.26,DERIVED,2026-08-13T12:05:36.604874+00:00
1002,Rolex,MARK,engine_median,4783.99,DERIVED,2026-08-21T21:45:15.687735+00:00
1002QZMAGICCOLORAC,Franck Muller,MSRP,watchbase,8700.0,VERIFIED,2026-08-13T12:05:36+00:00
1002QZMC,Franck Muller,MSRP,watchbase,8700.0,VERIFIED,2026-08-13T12:05:36+00:00
1003,Rolex,MARK,engine_median,3711.26,DERIVED,2026-08-16T10:01:25.617322+00:00
1007,,MARK,engine_median,2759.51,DERIVED,2026-08-14T21:47:56.498486+00:00
101.029,,MARK,engine_median,30280.98,DERIVED,2026-08-13T12:05:36.604874+00:00
1016,,MARK,engine_median,19025.25,DERIVED,2026-08-13T12:05:36.604874+00:00
1016,,MARK,engine_median,20635.49,DERIVED,2026-08-17T21:49:35.588367+00:00
1016,,MARK,engine_median,19025.25,DERIVED,2026-08-20T19:55:02.750956+00:00
102324,Bulgari,MSRP,watchbase,6300.0,VERIFIED,2026-08-13T12:05:36+00:00
102333,Bulgari,MSRP,watchbase,27500.0,VERIFIED,2026-08-13T12:05:36+00:00
1024,Rolex,MARK,engine_median,3868.82,DERIVED,2026-08-13T12:05:36.604874+00:00
102428,Bulgari,MSRP,watchbase,4950.0,VERIFIED,2026-08-13T12:05:36+00:00
1025,,MARK,engine_median,2464.5,DERIVED,2026-08-13T12:05:36.604874+00:00
1025,,MARK,engine_median,6805.75,DERIVED,2026-08-18T21:46:17.264769+00:00
1025,,MARK,engine_median,2464.5,DERIVED,2026-08-20T04:37:33.725646+00:00
1025,,MARK,engine_median,6805.75,DERIVED,2026-08-20T21:48:50.588638+00:00
1025,,MARK,engine_median,2464.5,DERIVED,2026-08-21T21:45:15.687735+00:00
102630,Bulgari,MSRP,watchbase,11750.0,VERIFIED,2026-08-13T12:05:36+00:00
102929,Bulgari,MSRP,watchbase,4600.0,VERIFIED,2026-08-13T12:05:36+00:00
103133,Bulgari,MSRP,watchbase,5250.0,VERIFIED,2026-08-13T12:05:36+00:00
103540,Bulgari,MSRP,watchbase,5700.0,VERIFIED,2026-08-13T12:05:36+00:00
103554,Bulgari,MSRP,watchbase,4050.0,VERIFIED,2026-08-13T12:05:36+00:00
103570,Bulgari,MSRP,watchbase,4900.0,VERIFIED,2026-08-13T12:05:36+00:00
103893,Bulgari,MSRP,watchbase,4800.0,VERIFIED,2026-08-13T12:05:36+00:00
10625,,MARK,engine_median,3346.33,DERIVED,2026-08-13T12:05:36.604874+00:00
10631,,MARK,engine_median,2954.61,DERIVED,2026-08-13T12:05:36.604874+00:00
11.10.39.30.01.001,Omega,MARK,manual_check,6991.0,VERIFIED,2026-08-09
11.30.40.30.01.001,Omega,MARK,manual_check,15192.0,VERIFIED,2026-08-09
11.30.42.30.01.005,Omega,MARK,manual_check,4741.0,VERIFIED,2026-08-09
11.30.42.30.01.006,Omega,MARK,manual_check,5478.0,VERIFIED,2026-08-09
11.30.42.30.13.001,Omega,MARK,manual_check,5937.0,VERIFIED,2026-08-09
11.32.40.30.01.001,Omega,MARK,manual_check,4834.0,VERIFIED,2026-08-09
11.33.42.30.01.001,Omega,MARK,manual_check,4744.0,VERIFIED,2026-08-09
11.92.44.30.01.001,Omega,MARK,manual_check,8249.0,VERIFIED,2026-08-09
11.92.44.51.01.003,Omega,MARK,manual_check,7046.0,VERIFIED,2026-08-09
11.92.44.51.01.005,Omega,MARK,manual_check,8475.0,VERIFIED,2026-08-09
11.92.44.51.01.007,Omega,MARK,manual_check,7662.0,VERIFIED,2026-08-09
1100S000GB734,Vacheron Constantin,MARK,manual_check,27793.0,VERIFIED,2026-08-09
1100S000RB430,Vacheron Constantin,MARK,manual_check,24878.0,VERIFIED,2026-08-09
111.15.26.60.55.001,Omega,MARK,engine_median,1754.6,DERIVED,2026-08-14T21:47:56.498486+00:00
111.20.36.20.58.001,Omega,MARK,engine_median,2461.25,DERIVED,2026-08-21T21:45:15.687735+00:00
1110U000GB086,Vacheron Constantin,MARK,manual_check,11453.0,VERIFIED,2026-08-09
1110U000PB,,MARK,engine_median,18063.36,DERIVED,2026-08-13T12:05:36.604874+00:00
1110U000RB085,Vacheron Constantin,MARK,manual_check,12234.0,VERIFIED,2026-08-09
114060,Rolex,MARK,manual_check,10721.0,VERIFIED,2026-08-09
