priority,brand,reference,japan_listings,dollars_at_stake,max_landed_usd,chrono24_url,example_title
1,Rolex,126729VTNR,4,0,53895,https://www.chrono24.com/search/index.htm?dosearch=true&query=126729VTNR&sortorder=1,PRICEDOWN ROLEX GMT Master II 126729VTNR Green Random Serial
2,Grand Seiko,SBGX261,4,0,2107,https://www.chrono24.com/search/index.htm?dosearch=true&query=SBGX261&sortorder=1,【中古】 【良品】 グランドセイコー ヘリテージコレクション ブラック SBGX261 ステンレススティール 【1年保証
3,Cartier,WGTA0010,4,0,14249,https://www.chrono24.com/search/index.htm?dosearch=true&query=WGTA0010&sortorder=1,カルティエ CARTIER タンク ルイ カルティエ SM WGTA0010 中古 時計 レディース
4,Audemars Piguet,15550ST,3,0,57788,https://www.chrono24.com/search/index.htm?dosearch=true&query=15550ST&sortorder=1,オーデマピゲ ロイヤルオーク Ref.15550ST.OO.1356ST.07 ステンレススチール グレー文字盤 中古 
5,Tudor,25610TNL,3,0,4665,https://www.chrono24.com/search/index.htm?dosearch=true&query=25610TNL&sortorder=1,ペラゴス レフトハンド ドライブ
6,Omega,326.30.40.50.01.002,2,618,3697,https://www.chrono24.com/search/index.htm?dosearch=true&query=326.30.40.50.01.002&sortorder=1,【中古】 【並品】 オメガ(OMEGA) スピードマスター レーシング ブラック/ホワイト 326.30.40.50.0
7,Grand Seiko,SBGX263,2,63,1709,https://www.chrono24.com/search/index.htm?dosearch=true&query=SBGX263&sortorder=1,【中古】 【良品】 グランドセイコー クォーツ シルバー SBGX263/9F62-0AB0 ステンレススティール 【1
8,Audemars Piguet,15510BC,2,0,105968,https://www.chrono24.com/search/index.htm?dosearch=true&query=15510BC&sortorder=1,オーデマピゲ ロイヤルオーク Ref.15510BC.OO.1320BC.04 ホワイトゴールド スモークブルー文字盤 
9,Rolex,116505,2,0,50415,https://www.chrono24.com/search/index.htm?dosearch=true&query=116505&sortorder=1,Rolex Cosmograph Daytona 116505 Pink × Black V Series Used M
10,Audemars Piguet,26393OR,2,0,38502,https://www.chrono24.com/search/index.htm?dosearch=true&query=26393OR&sortorder=1,オーデマ ピゲ AUDEMARS PIGUET CODE 11.59 バイ オーデマピゲ クロノグラフ 26393OR.
11,Rolex,127235,2,0,58507,https://www.chrono24.com/search/index.htm?dosearch=true&query=127235&sortorder=1,PRICEDOWN Rolex Land Dweller 36 127235 White Honeycomb Motif
12,Tudor,79733N,2,0,4707,https://www.chrono24.com/search/index.htm?dosearch=true&query=79733N&sortorder=1,ブラックベイ
13,Rolex,126201,1,1889,13037,https://www.chrono24.com/search/index.htm?dosearch=true&query=126201&sortorder=1,PRICEDOWN Rolex Datejust 36 126201 Silver Palm Motif Bar 3 R
14,Grand Seiko,SLGW007,1,320,7630,https://www.chrono24.com/search/index.htm?dosearch=true&query=SLGW007&sortorder=1,グランドセイコー エボリューション9 コレクション 手巻メカニカルハイビート 36000 Ref.SLGW007 ステン
15,Grand Seiko,SLGB003,1,177,8599,https://www.chrono24.com/search/index.htm?dosearch=true&query=SLGB003&sortorder=1,【中古】 【美品】 グランドセイコー スプリングドライブ エボリューション9コレクション ライトブルー SLGB003/
16,Audemars Piguet,26393NR,1,122,30731,https://www.chrono24.com/search/index.htm?dosearch=true&query=26393NR&sortorder=1,オーデマピゲ CODE 11.59 バイ オーデマ ピゲ クロノグラフ Ref.26393NR.OO.A002KB.02
17,Vacheron Constantin,4600V/200A-B980,1,121,23666,https://www.chrono24.com/search/index.htm?dosearch=true&query=4600V%2F200A-B980&sortorder=1,ヴァシュロンコンスタンタン オーヴァーシーズ オートマティック Ref.4600V/200A-B980 ステンレススチー
18,Audemars Piguet,26420SO,1,111,30731,https://www.chrono24.com/search/index.htm?dosearch=true&query=26420SO&sortorder=1,オーデマピゲ ロイヤルオーク オフショア クロノグラフ Ref.26420SO.OO.A002CA.01 ステンレススチ
19,Omega,220.10.41.21.03.006,1,86,5917,https://www.chrono24.com/search/index.htm?dosearch=true&query=220.10.41.21.03.006&sortorder=1,オメガ OMEGA シーマスター アクアテラ ターコイズ 220.10.41.21.03.006 新品 時計 メンズ
20,Breitling,A17375,1,83,3100,https://www.chrono24.com/search/index.htm?dosearch=true&query=A17375&sortorder=1,【中古】 【良品】 ブライトリング スーパーオーシャン 42 ブラック A17375211B1S1/A17375 ステン
21,Grand Seiko,SBGJ277,1,57,5485,https://www.chrono24.com/search/index.htm?dosearch=true&query=SBGJ277&sortorder=1,【中古】 【美品】 グランドセイコー メカニカル シルバー SBGJ277/9S86-00K0 ステンレススティール 【
22,Tudor,91550,1,30,1554,https://www.chrono24.com/search/index.htm?dosearch=true&query=91550&sortorder=1,1926
23,Grand Seiko,SBGE295,1,16,5088,https://www.chrono24.com/search/index.htm?dosearch=true&query=SBGE295&sortorder=1,【中古】 【美品】 グランドセイコー スプリングドライブ GMT グリーン SBGE295/9R66-0BK0 ステンレ
24,Grand Seiko,SBGR325,1,2,3763,https://www.chrono24.com/search/index.htm?dosearch=true&query=SBGR325&sortorder=1,【中古】 【並品】 グランドセイコー メカニカル ブルー SBGR325 ステンレススティール 【1年保証】
25,Omega,210.30.42.20.06.001,1,0,4028,https://www.chrono24.com/search/index.htm?dosearch=true&query=210.30.42.20.06.001&sortorder=1,【中古】 【良品】 オメガ(OMEGA) シーマスター ダイバー300M グレー 210.30.42.20.06.001
26,Omega,210.32.42.20.01.003,1,0,5390,https://www.chrono24.com/search/index.htm?dosearch=true&query=210.32.42.20.01.003&sortorder=1,オメガ OMEGA シーマスター ダイバー300M コーアクシャル マスター クロノメーター 210.32.42.20.
27,Grand Seiko,SBGR315,1,0,3113,https://www.chrono24.com/search/index.htm?dosearch=true&query=SBGR315&sortorder=1,【中古】 【良品】 グランドセイコー メカニカル シルバー SBGR315/ 9S65-00T0 ステンレススティール 
